2600:1005:a100::/44,US,US-AL,Birmingham,
2600:1005:a110::/44,US,US-AL,Birmingham,
2600:1005:a120::/48,US,US-AL,Birmingham,
2600:1005:a122::/48,US,US-AL,Birmingham,
2600:1005:a126::/48,US,US-AL,Birmingham,
2600:1005:a128::/48,US,US-AL,Birmingham,
2600:1005:a130::/45,US,US-AL,Birmingham,
2600:1005:a138::/45,US,US-AL,Birmingham,
2600:1006:a000::/44,US,US-FL,Pembroke Pines,
2600:1006:a010::/44,US,US-FL,Pembroke Pines,
2600:1006:a021::/48,US,US-FL,Pembroke Pines,
2600:1006:a022::/48,US,US-FL,Pembroke Pines,
2600:1006:a024::/48,US,US-FL,Pembroke Pines,
2600:1006:a028::/45,US,US-FL,Pembroke Pines,
2600:1006:a100::/44,US,US-FL,Orlando,
2600:1006:a110::/44,US,US-FL,Orlando,
2600:1006:a120::/44,US,US-FL,Orlando,
2600:1006:a131::/48,US,US-FL,Orlando,
2600:1006:a132::/48,US,US-FL,Orlando,
2600:1006:a134::/48,US,US-FL,Orlando,
2600:1006:a140::/45,US,US-FL,Orlando,
2600:1006:a148::/45,US,US-FL,Orlando,
2600:1007:a000::/44,US,US-MI,Southfield,
2600:1007:a011::/48,US,US-MI,Southfield,
2600:1007:a012::/48,US,US-MI,Southfield,
2600:1007:a020::/44,US,US-MI,Southfield,
2600:1007:a030::/45,US,US-MI,Southfield,
2600:1007:a038::/45,US,US-MI,Southfield,
2600:1007:a100::/44,US,US-MI,Westland,
2600:1007:a111::/48,US,US-MI,Westland,
2600:1007:a112::/48,US,US-MI,Westland,
2600:1007:a118::/45,US,US-MI,Westland,
2600:1008:a000::/44,US,US-IL,Hickory Hills,
2600:1008:a010::/44,US,US-IL,Hickory Hills,
2600:1008:a020::/44,US,US-IL,Hickory Hills,
2600:1008:a030::/48,US,US-IL,Hickory Hills,
2600:1008:a033::/48,US,US-IL,Hickory Hills,
2600:1008:a034::/48,US,US-IL,Hickory Hills,
2600:1008:a038::/45,US,US-IL,Hickory Hills,
2600:1008:a100::/44,US,US-WI,New Berlin,
2600:1008:a110::/44,US,US-WI,New Berlin,
2600:1008:a120::/44,US,US-WI,New Berlin,
2600:1008:a130::/48,US,US-WI,New Berlin,
2600:1008:a133::/48,US,US-WI,New Berlin,
2600:1008:a134::/48,US,US-WI,New Berlin,
2600:1008:a138::/45,US,US-WI,New Berlin,
2600:1008:b020::/44,US,US-IL,Hickory Hills,
2600:1009:a000::/44,US,US-OH,Columbus,
2600:1009:a010::/44,US,US-OH,Columbus,
2600:1009:a021::/48,US,US-OH,Columbus,
2600:1009:a022::/48,US,US-OH,Columbus,
2600:1009:a023::/48,US,US-OH,Columbus,
2600:1009:a100::/44,US,US-OH,Cincinnati,
2600:1009:a110::/44,US,US-OH,Cincinnati,
2600:1009:a121::/48,US,US-OH,Cincinnati,
2600:1009:a122::/48,US,US-OH,Cincinnati,
2600:1009:a123::/48,US,US-OH,Cincinnati,
2600:1009:a128::/45,US,US-OH,Cincinnati,
2600:100a:a000::/44,US,US-KS,Lenexa,
2600:100a:a011::/48,US,US-KS,Lenexa,
2600:100a:a012::/48,US,US-KS,Lenexa,
2600:100a:a018::/45,US,US-KS,Lenexa,
2600:100a:a100::/44,US,US-MO,St. Louis,
2600:100a:a110::/48,US,US-MO,St. Louis,
2600:100a:a111::/48,US,US-MO,St. Louis,
2600:100a:a118::/45,US,US-MO,St. Louis,
2600:100b:a000::/44,US,US-OK,Tulsa,
2600:100b:a010::/48,US,US-OK,Tulsa,
2600:100b:a012::/48,US,US-OK,Tulsa,
2600:100b:a100::/44,US,US-TN,Arlington,
2600:100b:a110::/48,US,US-TN,Arlington,
2600:100b:a111::/48,US,US-TN,Arlington,
2600:100b:a118::/45,US,US-TN,Arlington,
2600:100c:a100::/44,US,US-TX,Schertz,
2600:100c:a110::/44,US,US-TX,Schertz,
2600:100c:a121::/48,US,US-TX,Schertz,
2600:100c:a122::/48,US,US-TX,Schertz,
2600:100c:a123::/48,US,US-TX,Schertz,
2600:100c:a128::/48,US,US-TX,Schertz,
2600:100c:a130::/45,US,US-TX,Schertz,
2600:100c:a200::/44,US,US-TX,Euless,
2600:100c:a210::/44,US,US-TX,Euless,
2600:100c:a220::/48,US,US-TX,Euless,
2600:100c:a221::/48,US,US-TX,Euless,
2600:100c:a222::/48,US,US-TX,Euless,
2600:100c:a223::/48,US,US-TX,Euless,
2600:100c:a230::/45,US,US-TX,Euless,
2600:100c:a238::/45,US,US-TX,Euless,
2600:100c:b220::/44,US,US-TX,Euless,
2600:100d:a000::/44,US,US-TX,Houston,
2600:100d:a010::/44,US,US-TX,Houston,
2600:100d:a0e0::/45,US,US-TX,Houston,
2600:100d:a0ed::/48,US,US-TX,Houston,
2600:100d:a0ee::/48,US,US-TX,Houston,
2600:100d:a100::/44,US,US-LA,Baton Rouge,
2600:100d:a110::/44,US,US-LA,Baton Rouge,
2600:100d:a120::/48,US,US-LA,Baton Rouge,
2600:100d:a121::/48,US,US-LA,Baton Rouge,
2600:100e:a000::/44,US,US-CO,Aurora,
2600:100e:a010::/44,US,US-CO,Aurora,
2600:100e:a020::/48,US,US-CO,Aurora,
2600:100e:a021::/48,US,US-CO,Aurora,
2600:100e:a022::/48,US,US-CO,Aurora,
2600:100e:a023::/48,US,US-CO,Aurora,
2600:100e:a030::/45,US,US-CO,Aurora,
2600:100e:a038::/45,US,US-CO,Aurora,
2600:100e:a100::/44,US,US-UT,West Jordan,
2600:100e:a110::/44,US,US-UT,West Jordan,
2600:100e:a120::/48,US,US-UT,West Jordan,
2600:100e:a121::/48,US,US-UT,West Jordan,
2600:100e:a122::/48,US,US-UT,West Jordan,
2600:100e:a123::/48,US,US-UT,West Jordan,
2600:100e:a128::/45,US,US-UT,West Jordan,
2600:100f:a000::/44,US,US-WA,Redmond,
2600:100f:a010::/44,US,US-WA,Redmond,
2600:100f:a020::/48,US,US-WA,Redmond,
2600:100f:a021::/48,US,US-WA,Redmond,
2600:100f:a022::/48,US,US-WA,Redmond,
2600:100f:a030::/45,US,US-WA,Redmond,
2600:100f:a038::/45,US,US-WA,Redmond,
2600:100f:a100::/44,US,US-OR,Hillsboro,
2600:100f:a110::/48,US,US-OR,Hillsboro,
2600:100f:a111::/48,US,US-OR,Hillsboro,
2600:100f:a112::/48,US,US-OR,Hillsboro,
2600:100f:a118::/45,US,US-OR,Hillsboro,
2600:1010:a000::/44,US,US-CA,Sunnyvale,
2600:1010:a010::/44,US,US-CA,Sunnyvale,
2600:1010:a021::/48,US,US-CA,Sunnyvale,
2600:1010:a022::/48,US,US-CA,Sunnyvale,
2600:1010:a023::/48,US,US-CA,Sunnyvale,
2600:1010:a030::/45,US,US-CA,Sunnyvale,
2600:1010:a038::/45,US,US-CA,Sunnyvale,
2600:1010:a100::/44,US,US-CA,Rocklin,
2600:1010:a110::/44,US,US-CA,Rocklin,
2600:1010:a121::/48,US,US-CA,Rocklin,
2600:1010:a122::/48,US,US-CA,Rocklin,
2600:1010:a123::/48,US,US-CA,Rocklin,
2600:1010:a130::/44,US,US-CA,Rocklin,
2600:1010:a140::/45,US,US-CA,Rocklin,
2600:1010:a148::/45,US,US-CA,Rocklin,
2600:1010:b020::/44,US,US-CA,Sunnyvale,
2600:1011:a000::/44,US,US-NV,North Las Vegas,
2600:1011:a010::/44,US,US-NV,North Las Vegas,
2600:1011:a03b::/48,US,US-NV,North Las Vegas,
2600:1011:a03d::/48,US,US-NV,North Las Vegas,
2600:1011:a03e::/48,US,US-NV,North Las Vegas,
2600:1011:a03f::/48,US,US-NV,North Las Vegas,
2600:1011:a100::/44,US,US-AZ,Tempe,
2600:1011:a110::/44,US,US-AZ,Tempe,
2600:1011:a120::/44,US,US-AZ,Tempe,
2600:1011:a130::/45,US,US-AZ,Tempe,
2600:1011:a138::/45,US,US-AZ,Tempe,
2600:1011:a189::/48,US,US-AZ,Tempe,
2600:1011:a18a::/48,US,US-AZ,Tempe,
2600:1011:a18b::/48,US,US-AZ,Tempe,
2600:1011:a18d::/48,US,US-AZ,Tempe,
2600:1011:a18e::/48,US,US-AZ,Tempe,
2600:1011:a18f::/48,US,US-AZ,Tempe,
2600:1012:a000::/44,US,US-CA,Azusa,
2600:1012:a010::/44,US,US-CA,Azusa,
2600:1012:a023::/48,US,US-CA,Azusa,
2600:1012:a024::/48,US,US-CA,Azusa,
2600:1012:a025::/48,US,US-CA,Azusa,
2600:1012:a026::/48,US,US-CA,Azusa,
2600:1012:a030::/45,US,US-CA,Azusa,
2600:1012:a038::/45,US,US-CA,Azusa,
2600:1012:a100::/44,US,US-CA,Vista,
2600:1012:a110::/44,US,US-CA,Vista,
2600:1012:a123::/48,US,US-CA,Vista,
2600:1012:a124::/48,US,US-CA,Vista,
2600:1012:a125::/48,US,US-CA,Vista,
2600:1012:a126::/48,US,US-CA,Vista,
2600:1012:a128::/45,US,US-CA,Vista,
2600:1012:a130::/44,US,US-CA,Vista,
2600:1012:a140::/45,US,US-CA,Vista,
2600:1012:a148::/45,US,US-CA,Vista,
2600:1013:a000::/44,US,US-HI,Mililani,
2600:1013:a010::/48,US,US-HI,Mililani,
2600:1014:a000::/44,US,US-MN,Bloomington,
2600:1014:a010::/44,US,US-MN,Bloomington,
2600:1014:a020::/48,US,US-MN,Bloomington,
2600:1014:a021::/48,US,US-MN,Bloomington,
2600:1014:a022::/48,US,US-MN,Bloomington,
2600:1014:a024::/48,US,US-MN,Bloomington,
2600:1014:a030::/45,US,US-MN,Bloomington,
2600:1014:a038::/45,US,US-MN,Bloomington,
2600:1014:a100::/44,US,US-NE,Omaha,
2600:1014:a110::/48,US,US-NE,Omaha,
2600:1014:a111::/48,US,US-NE,Omaha,
2600:1014:a112::/48,US,US-NE,Omaha,
2600:1014:a114::/48,US,US-NE,Omaha,
2600:1014:a120::/44,US,US-NE,Omaha,
2600:1014:a130::/45,US,US-NE,Omaha,
2600:1014:a138::/45,US,US-NE,Omaha,
2600:1015:a000::/44,US,US-IN,Indianapolis,
2600:1015:a010::/44,US,US-IN,Indianapolis,
2600:1015:a020::/44,US,US-IN,Indianapolis,
2600:1015:a030::/48,US,US-IN,Indianapolis,
2600:1015:a032::/48,US,US-IN,Indianapolis,
2600:1015:a040::/45,US,US-IN,Indianapolis,
2600:1015:a048::/45,US,US-IN,Indianapolis,
2600:1015:a110::/44,US,US-IN,Indianapolis,
2600:1015:a120::/48,US,US-IN,Indianapolis,
2600:1015:a122::/48,US,US-IN,Indianapolis,
2600:1015:a128::/45,US,US-IN,Indianapolis,
2600:1016:a000::/44,US,US-PA,Bridgeville,
2600:1016:a010::/48,US,US-PA,Bridgeville,
2600:1016:a012::/48,US,US-PA,Bridgeville,
2600:1016:a013::/48,US,US-PA,Bridgeville,
2600:1016:a018::/45,US,US-PA,Bridgeville,
2600:1016:a100::/44,US,US-PA,Johnstown,
2600:1016:a110::/48,US,US-PA,Johnstown,
2600:1016:a112::/48,US,US-PA,Johnstown,
2600:1016:a113::/48,US,US-PA,Johnstown,
2600:1016:a118::/45,US,US-PA,Johnstown,
2600:1017:a000::/44,US,US-NY,East Syracuse,
2600:1017:a010::/48,US,US-NY,East Syracuse,
2600:1017:a012::/48,US,US-NY,East Syracuse,
2600:1017:a018::/45,US,US-NY,East Syracuse,
2600:1017:a100::/44,US,US-NY,Rochester,
2600:1017:a110::/48,US,US-NY,Rochester,
2600:1017:a112::/48,US,US-NY,Rochester,
2600:1017:a400::/44,US,US-NY,Farmingdale,
2600:1017:a410::/48,US,US-NY,Farmingdale,
2600:1017:a412::/48,US,US-NY,Farmingdale,
2600:1017:a420::/45,US,US-NY,Farmingdale,
2600:1017:a428::/45,US,US-NY,Farmingdale,
2600:1017:a800::/44,US,US-NY,Yonkers,
2600:1017:a8f0::/45,US,US-NY,Yonkers,
2600:1017:a8fd::/48,US,US-NY,Yonkers,
2600:1017:a8ff::/48,US,US-NY,Yonkers,
2600:4040:5900::/44,US,US-TX,Houston,
2600:4041:7b40::/44,US,US-FL,Pembroke Pines,
2600:4041:7b50::/48,US,US-FL,Pembroke Pines,
2600:4041:7b51::/48,US,US-AZ,Tempe,
2600:4041:7b60::/44,US,US-AZ,Tempe,
2600:4041:7b70::/48,US,US-IL,Hickory Hills,
2600:4041:7b80::/44,US,US-OH,Cincinnati,
2600:4041:7b90::/44,US,US-CA,Vista,
2600:4041:7ba0::/48,US,US-CA,Vista,
2600:4041:7bb0::/44,US,US-IL,Hickory Hills,
2600:4041:7bc0::/48,US,US-OH,Cincinnati,
2600:4041:7bc1::/48,US,US-CA,Sunnyvale,
2600:4041:7bd0::/44,US,US-CA,Sunnyvale,
2600:4041:7c01::/48,US,US-OR,Hillsboro,
2600:4041:7c10::/44,US,US-OR,Hillsboro,
2600:4041:7c20::/48,US,US-MI,Canton,
2600:4041:7c30::/44,US,US-MI,Canton,
2600:4041:7c40::/48,US,US-TX,Houston,
2600:4041:7c70::/48,US,US-GA,Alpharetta,
2600:4041:7c80::/44,US,US-GA,Alpharetta,
2600:4041:7c90::/48,US,US-TX,Euless,
2600:4041:7ca0::/44,US,US-TX,Euless,
2600:4041:7cb0::/48,US,US-NC,Charlotte,
2600:4041:7cc0::/44,US,US-NC,Charlotte,
2600:4041:7cd0::/48,US,US-CT,Windsor,
2600:4041:7ce0::/44,US,US-CT,Windsor,
68.161.0.0/24,US,US-CO,Aurora,
68.161.1.0/24,US,US-MN,Bloomington,
71.124.10.0/24,US,US-CA,Vista,
71.124.14.0/24,US,US-CA,Sunnyvale,
71.124.15.0/24,US,US-CA,Sunnyvale,
71.124.20.0/24,US,US-OR,Hillsboro,
71.124.21.0/24,US,US-OR,Hillsboro,
71.124.23.0/24,US,US-MI,Canton,
71.124.24.0/24,US,US-MI,Canton,
71.124.25.0/24,US,US-CT,Windsor,
71.124.26.0/24,US,US-TX,Houston,
71.124.27.0/24,US,US-GA,Alpharetta,
71.124.28.0/24,US,US-GA,Alpharetta,
71.124.29.0/24,US,US-TX,Euless,
71.124.30.0/24,US,US-TX,Euless,
71.124.31.0/24,US,US-NC,Charlotte,
71.124.32.0/24,US,US-NC,Charlotte,
71.124.33.0/24,US,US-CT,Windsor,
71.124.7.0/24,US,US-OH,Cincinnati,
71.124.8.0/24,US,US-CA,Vista,
71.124.9.0/24,US,US-OH,Cincinnati,
72.104.0.0/21,US,US-CT,Windsor,
72.104.104.0/21,US,US-FL,Orlando,
72.104.112.0/21,US,US-CA,Vista,
72.104.120.0/21,US,US-CA,Azusa,
72.104.128.0/21,US,US-NJ,Wall Township,
72.104.136.0/21,US,US-VA,Chantilly,
72.104.144.0/21,US,US-TN,Whites Creek,
72.104.152.0/21,US,US-OH,Cincinnati,
72.104.16.0/21,US,US-OK,Tulsa,
72.104.160.0/21,US,US-TX,Euless,
72.104.168.0/21,US,US-OH,Columbus,
72.104.176.0/21,US,US-CA,Sunnyvale,
72.104.184.0/21,US,US-WA,Redmond,
72.104.192.0/21,US,US-MD,Annapolis Junction,
72.104.200.0/21,US,US-VA,Chantilly,
72.104.208.0/21,US,US-IN,Indianapolis,
72.104.216.0/21,US,US-PA,Bridgeville,
72.104.224.0/21,US,US-NE,Omaha,
72.104.232.0/21,US,US-NE,Omaha,
72.104.24.0/21,US,US-TN,Arlington,
72.104.240.0/21,US,US-WI,New Berlin,
72.104.248.0/21,US,US-WI,New Berlin,
72.104.32.0/21,US,US-PA,Bridgeville,
72.104.40.0/21,US,US-PA,Johnstown,
72.104.48.0/21,US,US-MD,Annapolis Junction,
72.104.56.0/21,US,US-NC,Charlotte,
72.104.64.0/21,US,US-MI,Southfield,
72.104.72.0/21,US,US-UT,West Jordan,
72.104.8.0/21,US,US-DE,New Castle,
72.104.80.0/21,US,US-MI,Westland,
72.104.88.0/21,US,US-AZ,Tempe,
72.104.96.0/21,US,US-NY,East Syracuse,
72.105.0.0/21,US,US-TN,Whites Creek,
72.105.104.0/21,US,US-MN,Bloomington,
72.105.112.0/21,US,US-MO,St. Louis,
72.105.120.0/21,US,US-CA,Rocklin,
72.105.128.0/21,US,US-MI,Westland,
72.105.136.0/21,US,US-CA,Sunnyvale,
72.105.144.0/21,US,US-CA,Rocklin,
72.105.152.0/21,US,US-TX,Euless,
72.105.16.0/21,US,US-MA,Westborough,
72.105.160.0/21,US,US-TX,Schertz,
72.105.168.0/21,US,US-IN,Indianapolis,
72.105.176.0/21,US,US-IN,Indianapolis,
72.105.184.0/23,US,US-FL,Pembroke Pines,
72.105.188.0/23,US,US-FL,Pembroke Pines,
72.105.190.0/23,US,US-FL,Pembroke Pines,
72.105.192.0/21,US,US-OH,Columbus,
72.105.200.0/21,US,US-IL,Hickory Hills,
72.105.208.0/21,US,US-LA,Baton Rouge,
72.105.216.0/21,US,US-AL,Birmingham,
72.105.224.0/21,US,US-CA,Vista,
72.105.232.0/21,US,US-TX,Houston,
72.105.24.0/21,US,US-PA,Plymouth Meeting,
72.105.240.0/21,US,US-MD,Annapolis Junction,
72.105.248.0/21,US,US-NJ,Branchburg,
72.105.32.0/21,US,US-NC,Charlotte,
72.105.40.0/21,US,US-GA,Alpharetta,
72.105.48.0/21,US,US-MI,Southfield,
72.105.56.0/21,US,US-IL,Hickory Hills,
72.105.64.0/21,US,US-CO,Aurora,
72.105.72.0/21,US,US-TN,Whites Creek,
72.105.8.0/21,US,US-OH,Cincinnati,
72.105.80.0/21,US,US-TN,Arlington,
72.105.88.0/21,US,US-CA,Azusa,
72.105.96.0/21,US,US-KS,Lenexa,
72.106.0.0/21,US,US-NV,North Las Vegas,
72.106.104.0/21,US,US-AL,Birmingham,
72.106.112.0/21,US,US-NY,Rochester,
72.106.120.0/22,US,US-NY,Farmingdale,
72.106.124.0/22,US,US-NY,Yonkers,
72.106.128.0/20,US,US-MN,Bloomington,
72.106.144.0/21,US,US-TN,Whites Creek,
72.106.152.0/21,US,US-TN,Whites Creek,
72.106.16.0/21,US,US-KS,Lenexa,
72.106.160.0/20,US,US-MI,Southfield,
72.106.176.0/22,US,US-VA,Richmond,
72.106.180.0/22,US,US-VA,Roanoke,
72.106.184.0/21,US,US-MA,Westborough,
72.106.192.0/22,US,US-DE,New Castle,
72.106.196.0/23,US,US-FL,Pembroke Pines,
72.106.198.0/23,US,US-CA,Vista,
72.106.200.0/21,US,US-NE,Omaha,
72.106.208.0/21,US,US-OH,Columbus,
72.106.216.0/21,US,US-OH,Cincinnati,
72.106.224.0/21,US,US-NC,Charlotte,
72.106.232.0/21,US,US-NC,Charlotte,
72.106.24.0/21,US,US-MN,Bloomington,
72.106.240.0/21,US,US-IL,Hickory Hills,
72.106.248.0/21,US,US-IL,Hickory Hills,
72.106.32.0/21,US,US-PA,Johnstown,
72.106.40.0/21,US,US-GA,Alpharetta,
72.106.48.0/21,US,US-WA,Redmond,
72.106.56.0/21,US,US-IN,Indianapolis,
72.106.64.0/20,US,US-TX,Euless,
72.106.8.0/21,US,US-OR,Hillsboro,
72.106.80.0/20,US,US-VA,Chantilly,
72.106.96.0/21,US,US-AL,Birmingham,
72.107.0.0/21,US,US-WI,New Berlin,
72.107.104.0/21,US,US-OH,Cincinnati,
72.107.112.0/20,US,US-MO,St. Louis,
72.107.128.0/20,US,US-MI,Westland,
72.107.144.0/21,US,US-CA,Rocklin,
72.107.152.0/22,US,US-VA,Roanoke,
72.107.156.0/22,US,US-VA,Roanoke,
72.107.16.0/21,US,US-NV,North Las Vegas,
72.107.160.0/22,US,US-VA,Richmond,
72.107.164.0/22,US,US-VA,Richmond,
72.107.168.0/22,US,US-MI,Westland,
72.107.172.0/22,US,US-AZ,Tempe,
72.107.176.0/23,US,US-UT,West Jordan,
72.107.180.0/22,US,US-PA,Bridgeville,
72.107.184.0/21,US,US-WA,Redmond,
72.107.192.0/21,US,US-TX,Schertz,
72.107.200.0/21,US,US-TX,Schertz,
72.107.208.0/21,US,US-OR,Hillsboro,
72.107.216.0/21,US,US-CO,Aurora,
72.107.224.0/21,US,US-UT,West Jordan,
72.107.232.0/21,US,US-OR,Hillsboro,
72.107.24.0/21,US,US-AZ,Tempe,
72.107.240.0/21,US,US-TX,Houston,
72.107.248.0/21,US,US-TX,Houston,
72.107.32.0/21,US,US-CA,Rocklin,
72.107.40.0/21,US,US-CA,Rocklin,
72.107.48.0/20,US,US-KS,Lenexa,
72.107.64.0/22,US,US-MI,Southfield,
72.107.68.0/22,US,US-FL,Orlando,
72.107.72.0/22,US,US-FL,Orlando,
72.107.76.0/22,US,US-VA,Roanoke,
72.107.8.0/21,US,US-WI,New Berlin,
72.107.80.0/21,US,US-HI,Mililani,
72.107.88.0/21,US,US-TX,Houston,
72.107.96.0/21,US,US-LA,Baton Rouge,
72.108.0.0/21,US,US-LA,Baton Rouge,
72.108.102.0/24,US,US-PA,Plymouth Meeting,
72.108.105.0/24,US,US-CA,Sunnyvale,
72.108.106.0/24,US,US-CA,Sunnyvale,
72.108.107.0/24,US,US-GA,Alpharetta,
72.108.108.0/24,US,US-GA,Alpharetta,
72.108.109.0/24,US,US-GA,Alpharetta,
72.108.110.0/24,US,US-GA,Alpharetta,
72.108.111.0/24,US,US-PA,Plymouth Meeting,
72.108.112.0/24,US,US-UT,West Jordan,
72.108.113.0/24,US,US-WA,Redmond,
72.108.114.0/24,US,US-WA,Redmond,
72.108.120.0/21,US,US-TX,Euless,
72.108.128.0/21,US,US-TX,Euless,
72.108.136.0/22,US,US-TX,Schertz,
72.108.140.0/22,US,US-TX,Schertz,
72.108.144.0/22,US,US-NC,Charlotte,
72.108.148.0/22,US,US-NC,Charlotte,
72.108.152.0/22,US,US-PA,Plymouth Meeting,
72.108.158.0/24,US,US-UT,West Jordan,
72.108.159.0/24,US,US-UT,West Jordan,
72.108.16.0/21,US,US-IN,Indianapolis,
72.108.160.0/24,US,US-OR,Hillsboro,
72.108.161.0/24,US,US-OR,Hillsboro,
72.108.162.0/24,US,US-NE,Omaha,
72.108.163.0/24,US,US-NE,Omaha,
72.108.164.0/24,US,US-CO,Aurora,
72.108.165.0/24,US,US-CO,Aurora,
72.108.168.0/24,US,US-NC,Charlotte,
72.108.169.0/24,US,US-NC,Charlotte,
72.108.170.0/23,US,US-NE,Omaha,
72.108.172.0/24,US,US-MN,Bloomington,
72.108.173.0/24,US,US-MN,Bloomington,
72.108.174.0/24,US,US-KS,Lenexa,
72.108.175.0/24,US,US-KS,Lenexa,
72.108.176.0/22,US,US-MD,Annapolis Junction,
72.108.180.0/22,US,US-VA,Chantilly,
72.108.184.0/22,US,US-NY,Farmingdale,
72.108.188.0/22,US,US-NY,Yonkers,
72.108.192.0/20,US,US-PA,Johnstown,
72.108.208.0/22,US,US-FL,Pembroke Pines,
72.108.212.0/22,US,US-FL,Pembroke Pines,
72.108.216.0/22,US,US-NE,Omaha,
72.108.220.0/22,US,US-GA,Alpharetta,
72.108.224.0/21,US,US-FL,Orlando,
72.108.232.0/21,US,US-FL,Orlando,
72.108.24.0/21,US,US-IN,Indianapolis,
72.108.240.0/20,US,US-FL,Pembroke Pines,
72.108.32.0/22,US,US-NC,Charlotte,
72.108.52.0/23,US,US-MO,St. Louis,
72.108.54.0/23,US,US-MO,St. Louis,
72.108.56.0/21,US,US-CT,Windsor,
72.108.65.0/24,US,US-CA,Vista,
72.108.66.0/24,US,US-CA,Vista,
72.108.67.0/24,US,US-CA,Vista,
72.108.68.0/24,US,US-TX,Euless,
72.108.69.0/24,US,US-TX,Euless,
72.108.70.0/24,US,US-TX,Euless,
72.108.71.0/24,US,US-TX,Euless,
72.108.72.0/24,US,US-TX,Schertz,
72.108.75.0/24,US,US-NY,Farmingdale,
72.108.79.0/24,US,US-TX,Schertz,
72.108.8.0/21,US,US-LA,Baton Rouge,
72.108.84.0/23,US,US-MI,Southfield,
72.108.86.0/23,US,US-MI,Southfield,
